,meta_group,ATP5F1A,PRDX1,PROZ,BHMT,DCP1B,TPM3,PAM,RAD23B,GSPT2,ARPC5,KRT7,CORO1C,NDN,CALD1
19,0,16810.29497,0,59925.01812,60530.21806,3140.220781,58326.09905,7314.526552,647.0560251,2656.94264,3215.253019,1782.752744,1142.958081,13194.57486,287.9416922
20,0,2521.305821,610.570777,14073.65834,24879.0894,0,3417.946979,0,445.4009174,199.5528425,303.8972954,882.2692449,876.8064792,3680.227188,400.0876484
21,1,2235.584623,18066.28627,212636.7277,63066.40894,2083.429145,60122.65682,12052.11708,20408.43618,781.0746673,0,2095.712403,3691.476681,161005.8882,0
22,1,2622.879348,8513.662292,3345.178393,28962.08178,1308.412327,12772.49864,0,0,877.4550426,4901.524025,734.3534808,875.2876835,0,0
23,1,5044.484711,0,16198.05058,16052.00373,2607.385621,54056.59698,649.0871923,8069.044095,6511.546315,4776.960589,30495.03593,2123.686181,4570.321843,729.1344731
24,1,15658.29124,1112.843233,1874.121129,99115.65052,1536.012824,22144.25568,425.6885343,1234.575457,337.6404474,2314.183506,667.372233,642.2934197,3985.575546,356.2697351
25,1,8970.659593,3670.57152,31894.42181,204444.3399,4641.895847,41414.16664,2190.789188,3017.541155,717.7991874,3562.579414,5663.776366,742.4303832,3796.270678,787.7043698
26,1,2949.531459,619.0850272,5902.46761,8583.690667,1327.336759,35318.61437,830.4891721,1847.58672,2190.383819,714.214122,11328.49604,1220.752696,2835.339929,204.3102573
27,1,1211.031143,188.9039405,4073.093325,2742.959564,1569.478921,31215.24151,1945.963444,2736.723561,4393.856165,600.0319948,7523.867886,5579.405962,202.4563499,370.3469543
28,1,6643.038094,5799.826983,22824.01773,86447.52712,2736.081834,44319.74878,2296.519344,0,1198.456922,2230.267263,2535.910295,2339.681723,3687.999581,2361.732244
29,1,1218.795154,3526.278881,2440.248939,82738.03532,3876.597092,45717.11543,1512.433582,446.5441568,522.459148,2312.10932,735.3959799,3267.189673,4970.976993,4541.949764
30,1,1666.922632,15898.18281,128680.5526,85823.86519,0,3695.134222,6335.774656,1960.653492,1796.509078,4987.0046,0,2852.126653,20305.61437,0
31,1,526.8061442,19307.5431,17050.39063,158819.3982,1379.749712,12303.89268,4912.090399,1098.878026,929.2241539,4232.643889,101.5342679,1173.803242,63790.26631,324.8934469
32,1,746.9019853,4517.173256,35108.71437,33099.68665,183.6782642,1937.68164,5777.903017,1321.800079,604.141662,2080.223035,236.203408,1350.392381,5996.862084,262.7760177
33,1,1264.587759,5387.739559,72208.64585,90303.56187,441.2191053,2377.008888,4561.479874,1085.722272,484.871212,1346.849752,201.7430128,772.0605602,8363.643824,124.8881136
34,1,4643.52493,7002.506549,7082.078289,53511.16944,281.51115,17122.53823,2284.50147,1779.843416,307.6344655,183.7761551,1360.611677,1763.899961,19777.34037,385.700379
35,1,283.3921227,30695.92141,79979.32973,166241.3616,11971.29296,158034.1233,7633.369249,0,1491.857103,9120.671836,0,3329.857442,5257.429934,7359.086159
36,1,213.8449661,28678.37796,39556.35378,60215.71575,1581.690564,41279.59761,7968.138079,7931.423725,2645.283011,2219.463758,0,2626.478486,62957.85181,18979.76088
37,1,319.0364258,5987.389855,17710.13497,140595.6625,1574.610837,22679.04323,2463.398598,0,0,2631.355935,0,148.0379281,382.7476346,2016.440336
38,1,567.0407362,8885.038301,35791.89129,32230.03541,883.463468,11732.56287,2235.960631,1943.059589,947.3080546,793.0169703,676.5286018,767.2551196,75436.01932,3083.581524
39,1,448.2881514,12300.51873,38845.6977,49082.66407,1181.16441,24565.7941,3637.622201,4546.565907,1836.079287,1320.107632,2280.319771,841.7968977,93602.95297,8098.695861
40,1,2347.278292,31363.61952,16087.0168,125714.414,2073.433211,34666.271,4857.206838,5006.486962,2983.699662,3694.093443,2567.995521,3212.663096,101523.0056,9695.842821
41,1,1255.303413,8144.643934,22827.0913,28790.41531,672.5677187,17814.64377,3396.965179,4014.800311,0,0,618.8948269,1601.978326,78568.32308,0
42,1,4335.338797,26874.11101,11401.32663,216175.348,7290.783256,83468.14079,3712.32691,591.4221456,1629.098346,4175.70606,1061.824626,1606.806454,5947.987614,7358.356906
43,1,1432.735416,54636.38039,21142.9468,233546.9456,2028.235399,47205.60482,3742.165495,7227.717173,6229.069415,7795.384775,796.2493408,2506.075089,66836.68637,12060.52297
