ATP5F1A,HSP90AA1,PRDX1,ST13,PROZ,CBR1,PRDX5,BHMT,DCP1B,ANXA4,HSP90AB1,CNDP2,TPM3,PAM,HSPB1,RAD23B,GSPT2,ARPC5,KRT8,KRT7,CORO1C,NDN,CALD1
1160.508926,50486.43245,5297.779198,1637.976563,18510.02335,4466.089439,3827.27337,51713.27776,1225.007034,932.4215722,49303.88602,7131.5521,29484.91046,1771.666727,20589.92053,157.2506255,0,1396.444496,3416.843069,875.1666326,546.0263849,1185.747001,1934.130429
5572.974584,4225.438756,1143.438112,580.6376907,1989.040198,0,1236.406769,12771.75511,0,1664.713964,3883.216328,0,3009.420933,0,11091.17078,0,115.851842,249.5294666,11814.38175,704.7419021,1885.544679,500.1387428,458.5337631
1038.481035,4502.781491,2118.626054,2142.053034,10029.57966,482.7319088,4747.116513,24447.7812,0,590.317254,4247.58553,1699.930222,8534.374976,1692.76813,6363.383585,0,0,56.35076396,3845.543705,0,624.1796048,2081.819086,123.1213397
36.7915504,24141.30748,13903.30429,2970.075714,10613.44403,6996.362237,4748.485595,163606.0155,1423.246042,1256.83631,23160.79728,8084.362633,12438.4806,3695.302184,12116.8547,389.3280729,1383.965912,1548.376893,3781.79672,336.7613161,511.1265305,6204.925595,959.5226064
0,14022.84575,5004.040605,1166.001063,19306.235,2742.558959,4156.162917,26004.19091,576.4259662,1405.17652,13448.50956,2401.771832,3221.922687,1867.561,4418.182876,437.7777313,790.6327817,575.4532665,4871.974534,415.7887058,487.3237325,4074.005074,0
0,16145.94772,5775.311583,1452.105415,21164.23321,3484.310288,5151.810354,28061.16946,602.6642343,2092.375439,15512.31425,2804.266985,5574.119626,2454.969261,5108.399068,246.2170021,471.9095403,771.1594404,5008.802902,239.1759423,392.9166939,5346.457429,34.79948075
129.6807372,14987.2223,5655.268631,1398.741282,15373.12279,4362.031267,5469.710667,37800.68112,0,633.1685513,14602.48556,2104.114474,3931.769943,2334.08783,6607.035123,245.2547237,214.9587691,2374.648552,3412.871362,391.4845979,802.2048297,0,391.4954102
704.857307,11536.63631,13283.94758,1367.490071,4966.649655,2670.415157,3681.321363,111904.7014,1592.643603,591.4771421,11536.63631,4934.155975,12125.14173,2789.551337,14709.89895,141.4274124,1421.093935,1899.764915,2006.331753,154.7633345,825.6737455,7427.037252,969.7674007
1215.20208,37804.49261,2077.147741,821.5734993,15377.75655,1610.849269,7289.193872,12289.28615,502.6334185,1148.588012,36791.15134,2523.260133,3532.564186,2876.516551,14370.47111,2678.692957,0,161.4886485,6788.579061,2991.577213,613.6568643,3803.057672,161.4886485
982.6401155,77098.13426,7206.663527,2381.232746,7687.489369,6304.161052,6075.196364,65646.08383,110.6662654,2459.462347,74943.95817,13226.52676,15495.1852,2606.381355,32196.25108,2921.2078,301.4701714,223.2405699,5231.8431,715.5146472,457.9293742,4978.073905,74.41352331
